                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                 0.4192,                0.33179,                0.87259,                0.98158,                0.95163,                0.98849,                0.93433,                 0.3885,                0.26039,                0.80356,             0.00085009,             0.00085009,             0.00085009
                    101,                0.41019,                0.31088,                0.86384,                0.94038,                0.97862,                0.98712,                0.92865,                0.38209,                0.26364,                0.80361,             0.00084184,             0.00084184,             0.00084184
                    102,                 0.4215,                0.32544,                0.88112,                0.96408,                0.96479,                0.98911,                 0.9323,                 0.3874,                0.26025,                0.80379,             0.00083358,             0.00083358,             0.00083358
                    103,                0.41661,                0.30584,                0.86869,                0.97182,                0.96731,                0.98975,                0.93405,                0.37368,                0.26244,                0.80112,             0.00082533,             0.00082533,             0.00082533
                    104,                0.41537,                 0.3251,                0.87021,                0.93251,                0.96818,                0.98364,                0.92855,                0.37264,                0.30606,                0.80028,             0.00081708,             0.00081708,             0.00081708
                    105,                0.39908,                0.31254,                0.85681,                0.93134,                0.96285,                 0.9808,                0.92424,                 0.3678,                 0.3318,                0.79867,             0.00080883,             0.00080883,             0.00080883
                    106,                 0.4262,                0.32166,                 0.8721,                0.94716,                0.97887,                0.98777,                0.93383,                0.37132,                0.26849,                0.80059,             0.00080058,             0.00080058,             0.00080058
                    107,                0.41048,                0.33146,                0.86428,                0.95753,                0.96114,                0.98525,                0.92778,                0.39844,                0.28779,                0.80812,             0.00079233,             0.00079233,             0.00079233
                    108,                0.40497,                0.31223,                0.86522,                0.96246,                0.96245,                0.98571,                0.93141,                0.39668,                0.28679,                0.80255,             0.00078407,             0.00078407,             0.00078407
                    109,                0.42654,                0.32083,                0.86721,                 0.9503,                0.96067,                0.98795,                0.93277,                0.37725,                0.27608,                0.80009,             0.00077582,             0.00077582,             0.00077582
                    110,                0.40807,                0.32742,                0.88129,                0.92569,                0.97887,                0.98524,                0.93158,                0.37871,                0.28364,                0.80206,             0.00076757,             0.00076757,             0.00076757
